name,valence,bias,group
1,-0.14011891163805315,con,1
2,-0.05754437237081999,con,1
3,0.389677078537281,pro,1
4,0.017627097856144,pro,1
5,0.03232193379023656,pro,1
6,0.42876624672082025,pro,1
7,0.11522905149730057,pro,1
8,-0.3162653086516335,con,1
9,-0.17171321297338152,con,1
10,-0.11141549252498952,con,1
11,0.3060204493598654,pro,1
12,0.08995345676434095,pro,1
13,0.10019286264851304,pro,1
14,0.027670678986279926,pro,1
15,-0.13896028368851873,con,1
16,0.44672828420076954,pro,1
17,0.12446261955730985,pro,1
18,-0.49165428915740955,con,1
19,0.1753389753909214,pro,1
20,-0.11819785193198351,con,1
21,-0.2669559264967113,con,2
22,-0.05449372866457378,con,2
23,-0.2565011120768099,con,2
24,-0.18222280732278506,con,2
25,-0.15625981696231417,con,2
26,-0.42167332768560334,con,2
27,0.20944676112363117,pro,2
28,0.038343279459128805,pro,2
29,-0.2845342342529869,con,2
30,0.3134537302674817,pro,2
31,0.10661605536920339,pro,2
32,-0.07376787074806779,con,2
33,0.22378141526125556,pro,2
34,0.21953337188326055,pro,2
35,0.20539527040937178,pro,2
36,0.17216006352502275,pro,2
37,0.1384794133843972,pro,2
38,-0.01547792764418042,con,2
39,-0.07649066593497919,con,2
40,-0.09511775025309567,con,2
41,-0.17367674473012817,con,3
42,-0.051979319504899694,con,3
43,-0.3163490878920661,con,3
44,0.5422389913346282,pro,3
45,0.30199049957624763,pro,3
46,-0.2807771458008373,con,3
47,-0.100721208824769,con,3
48,-0.11666383840580472,con,3
49,0.19499127958407947,pro,3
50,-0.02084226661795732,con,3
51,0.0633296284986887,pro,3
52,-0.0071366888371757545,con,3
53,-0.010717614322829023,con,3
54,0.3421505710036144,pro,3
55,-0.056442746414816905,con,3
56,0.37911765110738493,pro,3
57,-0.3871882010575553,con,3
58,0.1461534374090173,pro,3
59,0.030963560961153446,pro,3
60,0.05398539218599318,pro,3
61,0.09490987068997052,pro,4
62,-0.12558086327732557,con,4
63,-0.08330184591735502,con,4
64,-0.2546438457767722,con,4
65,-0.26794780661889445,con,4
66,0.07588216035106451,pro,4
67,0.11205244465735655,pro,4
68,0.013251056682626036,pro,4
69,0.2305668669699344,pro,4
70,0.5125211714067861,pro,4
71,-0.12275779151413382,con,4
72,-0.5772922189102031,con,4
73,0.25143463111556413,pro,4
74,-0.17730019064559815,con,4
75,-0.1720021541168395,con,4
76,0.2563928424241747,pro,4
77,-0.07119325176275222,con,4
78,-0.3051794280636339,con,4
79,0.04532586993728755,pro,4
80,-0.034722840609761156,con,4
81,0.0014410464749717332,pro,5
82,0.09632010028158262,pro,5
83,-0.09266500794810234,con,5
84,0.16109413712970824,pro,5
85,-0.055121640454687655,con,5
86,0.08294549097892423,pro,5
87,0.27420975328733693,pro,5
88,0.10879537270845072,pro,5
89,-0.08148289638280669,con,5
90,0.28720190461277345,pro,5
91,0.24837596399052986,pro,5
92,0.1370992398770175,pro,5
93,0.0596829337778603,pro,5
94,-0.15697651900984286,con,5
95,0.3401631121325019,pro,5
96,-0.15006489678678173,con,5
97,0.5468332482541441,pro,5
98,0.3831526565462973,pro,5
99,-0.05892508977511922,con,5
100,-0.2566052250766952,con,5
101,-0.17760164092482525,con,6
102,0.06422092728913238,pro,6
103,-0.061672969615593404,con,6
104,-0.0868856498494333,con,6
105,-0.23790464181625393,con,6
106,-0.011256931202230067,con,6
107,-0.19622611736426895,con,6
108,-0.4169854841470342,con,6
109,-0.09505663007194061,con,6
110,0.2297491522651915,pro,6
111,-0.14383674065209798,con,6
112,0.15199108055625835,pro,6
113,-0.404470677072291,con,6
114,-0.01389049138113486,con,6
115,0.12985180098586557,pro,6
116,0.0752883405416786,pro,6
117,0.026419048537235833,pro,6
118,-0.1601765020763441,con,6
119,-0.21242608650839556,con,6
120,-0.2560321976512283,con,6
121,0.029411649275031468,pro,7
122,-0.23686865354620054,con,7
123,-0.12263936092516708,con,7
124,-0.06402304804956181,con,7
125,0.46096550130805186,pro,7
126,-0.16298747542386463,con,7
127,0.05884664307121423,pro,7
128,0.019490212390927693,pro,7
129,-0.24046415853253214,con,7
130,-0.017827021530899666,con,7
131,0.3611377146058372,pro,7
132,0.11287601326980366,pro,7
133,0.010308230498234983,pro,7
134,-0.1056242080849062,con,7
135,-0.5133118053851289,con,7
136,0.28283430335354387,pro,7
137,-0.3651600177312055,con,7
138,0.18498687771933361,pro,7
139,0.47727589230437084,pro,7
140,-0.36097329024294983,con,7
141,0.1754460838436777,pro,8
142,-0.065549372350617,con,8
143,-0.3930360397863719,con,8
144,-0.37866691344543785,con,8
145,-0.40038404339364836,con,8
146,-0.13272663054257575,con,8
147,-0.36543889624897496,con,8
148,0.17197919324395688,pro,8
149,0.5250272351314179,pro,8
150,-0.32175761900879474,con,8
151,0.19693471186879452,pro,8
152,0.19226056025022747,pro,8
153,0.08305064473752942,pro,8
154,-0.25209415206925195,con,8
155,-0.02986315165766467,con,8
156,-0.07009883379256167,con,8
157,0.14074738330511996,pro,8
158,-0.09310968902595726,con,8
159,0.24424334667140518,pro,8
160,-0.09364521444175346,con,8
161,0.263177866394833,pro,9
162,-0.26229425166651643,con,9
163,-0.3150388111895281,con,9
164,0.8102599837356012,pro,9
165,-0.10421439704010795,con,9
166,0.07455689788517883,pro,9
167,0.15914241850846217,pro,9
168,-0.1209451564271859,con,9
169,0.12921551107840226,pro,9
170,0.0922411318462715,pro,9
171,-0.05384512691042335,con,9
172,0.016323258381328816,pro,9
173,-0.008516813434616,con,9
174,0.5321129747540453,pro,9
175,-0.1853340240682071,con,9
176,-0.273999066768666,con,9
177,0.009447099792769705,pro,9
178,0.07762018736078426,pro,9
179,0.10913086972754574,pro,9
180,-0.11459133317777642,con,9
181,-0.26583153349279776,con,10
182,0.3157962940223725,pro,10
183,-0.08741259698838869,con,10
184,-0.2163782156633435,con,10
185,-0.05906989223527413,con,10
186,-0.04929397358713805,con,10
187,0.2774800724284101,pro,10
188,0.021184323049299115,pro,10
189,0.18851344629613037,pro,10
190,-0.1248230042930652,con,10
191,0.05361132739540032,pro,10
192,-0.08117147787270867,con,10
193,0.023645882043392855,pro,10
194,-0.2238408394943854,con,10
195,-0.327700383331993,con,10
196,0.4993033461869916,pro,10
197,0.1501772059181044,pro,10
198,-0.312817840406236,con,10
199,-0.15279147917010522,con,10
200,-0.2963700211493276,con,10
